"id";"technology";"tag";"description";"url";"imgurl";"createdAt";"updatedAt"
1;"JavaScript";"project";"A beginners step by step guide for Rock Paper Scissors game tutorial.";"https://www.youtube.com/watch?v=qWPtKtYEsN4&t=1273s";"https://cdn3.iconfinder.com/data/icons/2018-social-media-logotypes/1000/2018_social_media_popular_app_logo_youtube-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
2;"JavaScript";"fundamentals";"User guide on vanilla JavaScript DOM manipulation by YouTuber DevEd.";"https://www.youtube.com/watch?v=wiozYyXQEVk";"https://cdn3.iconfinder.com/data/icons/2018-social-media-logotypes/1000/2018_social_media_popular_app_logo_youtube-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
3;"JavaScript";"fundamentals";"Full crash course on vanilla JavaScript presented by freeCodeCamp.org.";"https://www.youtube.com/watch?v=PkZNo7MFNFg&amp=&t=2328s";"https://cdn3.iconfinder.com/data/icons/2018-social-media-logotypes/1000/2018_social_media_popular_app_logo_youtube-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
4;"JavaScript";"fundamentals";"One hour tutorial on JavaScript presented by Programming with Mosh.";"https://www.youtube.com/watch?v=W6NZfCO5SIk";"https://cdn3.iconfinder.com/data/icons/2018-social-media-logotypes/1000/2018_social_media_popular_app_logo_youtube-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
5;"JavaScript";"project";"Build a weather app in JavaScript with YouTuber DevEd.";"https://www.youtube.com/watch?v=wPElVpR1rwA";"https://cdn3.iconfinder.com/data/icons/2018-social-media-logotypes/1000/2018_social_media_popular_app_logo_youtube-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
6;"JavaScript";"fundamentals";"Insight and explanation into the ES6 arrow function presented by Web Dev Simplified.";"https://www.youtube.com/watch?v=h33Srr5J9nY";"https://cdn3.iconfinder.com/data/icons/2018-social-media-logotypes/1000/2018_social_media_popular_app_logo_youtube-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
7;"JavaScript";"fundamentals";"In this crash course we will go over the fundamentals of JavaScript presented by Traversy Media.";"https://www.youtube.com/watch?v=hdI2bqOjy3c&t=2410s";"https://cdn3.iconfinder.com/data/icons/2018-social-media-logotypes/1000/2018_social_media_popular_app_logo_youtube-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
8;"JavaScript";"fundamentals";"Article showing to read and parse POST/PATCH/PUT request JSON or form body with Express and no dependencies.";"https://codewithhugo.com/parse-express-json-form-body/";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
9;"JavaScript";"fundamentals";"Article demonstrating the destructuring assignment syntax is a JavaScript expression that makes it possible to unpack values from arrays.";"https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Destructuring_assignment";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
10;"JavaScript";"performance";"Website that provides an enviorment for testing JavaScript code performance.";"https://jsperf.com/";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
11;"JavaScript";"fundamentals";"Digital copy of the book Eloquent JavaScript written by Marjin Haverbeke.";"https://eloquentjavascript.net/";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
12;"JavaScript";"fundamentals";"Website that provides a full overview of JavaScript fundamentals from start to finish.";"https://www.w3schools.com/jsref/jsref_obj_array.asp";"https://cdn1.iconfinder.com/data/icons/social-media-vol-2/24/_w3-512.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
13;"JavaScript";"fundamentals";"Website that provides a full overview of JavaScript fundamentals from start to finish.";"https://www.w3schools.com/jsref/dom_obj_style.asp";"https://cdn1.iconfinder.com/data/icons/social-media-vol-2/24/_w3-512.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
14;"JavaScript";"cheat sheet";"Comprehensive JavaScript cheat sheet.";"https://htmlcheatsheet.com/js/";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
15;"JavaScript";"fundamentals";"Website that provides insight and examples of bubble sort algorithms.";"https://medium.com/javascript-algorithms/javascript-algorithms-bubble-sort-3d27f285c3b2";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
16;"JavaScript";"fundamentals";"Website that provides a guide of setting up script tags into HTML.";"https://www.w3schools.com/tags/att_script_src.asp";"https://cdn1.iconfinder.com/data/icons/social-media-vol-2/24/_w3-512.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
17;"JavaScript";"code challenge";"Website that provies mutiple ideas for projects to start challenging yourself.";"https://javascript30.com/";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
18;"JavaScript";"code challenge";"Code wars provides an enviorment for you to test your coding skill with others or solo.";"https://www.codewars.com/";"https://cdn2.iconfinder.com/data/icons/circle-icons-1/64/gamecontroller-512.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
19;"JavaScript";"fundamentals";"Documentation related writing JavaScript code related to time.";"https://momentjs.com/";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
20;"Node.js";"fundamentals";"A step by step introduction to writing web apps with the JavaScript environment.";"https://codeburst.io/the-only-nodejs-introduction-youll-ever-need-d969a47ef219";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
21;"Node.js";"project";"A ""Nodeschool"""" cheat sheet with terminal terms for Node.js.""";"https://nodeschool.io/#workshopper-list";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
22;"Node.js";"fundamentals";"Understand how to use ""Module.exports"""" when using Node.js""";"https://www.sitepoint.com/understanding-module-exports-exports-node-js/";"https://cdn1.iconfinder.com/data/icons/logotypes/32/blogger-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
23;"Node.js";"fundamentals";"W3 Schools ""Intro To Node"""" page.""";"https://www.w3schools.com/nodejs/nodejs_intro.asp";"https://cdn1.iconfinder.com/data/icons/social-media-vol-2/24/_w3-512.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
24;"Node.js";"cheat sheet";"A GitHub cheat sheet for using Node.js syntax stuff.";"https://gist.github.com/LeCoupa/985b82968d8285987dc3";"https://cdn0.iconfinder.com/data/icons/octicons/1024/mark-github-256.png";"2019-09-14 00:00:00";"2019-09-14 00:00:00"
